"commodity_name","commodity_value","year","month"
"PBARL",75.5686718942764,1990,1
"PCOCO",995,1990,1
"PCOFFROB",50.5200004577637,1990,1
"PROIL",440.95,1990,1
"PCOTTIND",75.2000122070313,1990,1
"PGNUTS",864.35,1990,1
"PHIDE",92.7000122070313,1990,1
"PMAIZMT",105.900512695313,1990,1
"POLVOIL",2972.682,1990,1
"PPOIL",230.555950628755,1990,1
"PPORK",93.147106031746,1990,1
"PRUBB",37.7299995422363,1990,1
"PSOIL",418.657338,1990,1
"PSOYB",209.8274827,1990,1
"PSUGAISA",14.2000007629395,1990,1
"PSUNO",588.036231884057,1990,1
"PTEA",252.929992675781,1990,1
"PWHEAMT",167.918579101563,1990,1
"POATS",1.4320652173913,1990,1
"PSORG",4.61999988555908,1990,1
"PWOOLC",501.128824306966,1990,1
"PTOMATO",0,1990,1
"PAPPLE",0,1990,1
"PBARL",73.8647012912272,1990,2
"PCOCO",1022,1990,2
"PCOFFROB",51.2999992370605,1990,2
"PROIL",422.29,1990,2
"PCOTTIND",75.9599914550781,1990,2
"PGNUTS",823.75,1990,2
"PHIDE",92.6799926757813,1990,2
"PMAIZMT",106.294166564941,1990,2
"POLVOIL",3052.71,1990,2
"PPOIL",223.945027313236,1990,2
"PPORK",80.0039949206349,1990,2
"PRUBB",38.6800003051758,1990,2
"PSOIL",438.71938,1990,2
"PSOYB",208.449456325,1990,2
"PSUGAISA",14.6500015258789,1990,2
"PSUNO",608.475,1990,2
"PTEA",211.289993286133,1990,2
"PWHEAMT",160.937271118164,1990,2
"POATS",1.375875,1990,2
"PSORG",4.57000017166138,1990,2
"PWOOLC",494.864714003129,1990,2
"PTOMATO",0,1990,2
"PAPPLE",0,1990,2
"PBARL",70.0445793762433,1990,3
"PCOCO",1131,1990,3
"PCOFFROB",57.6800003051758,1990,3
"PROIL",412.77,1990,3
"PCOTTIND",78.8999938964844,1990,3
"PGNUTS",795.91,1990,3
"PHIDE",95.4100036621094,1990,3
"PMAIZMT",109.83731842041,1990,3
"POLVOIL",2925.144,1990,3
"PPOIL",236.340508529835,1990,3
"PPORK",79.9101155555555,1990,3
"PRUBB",37.5800018310547,1990,3
"PSOIL",487.22102,1990,3
"PSOYB",218.2793778,1990,3
"PSUGAISA",15.310001373291,1990,3
"PSUNO",618.075757575756,1990,3
"PTEA",192.600006103516,1990,3
"PWHEAMT",156.528030395508,1990,3
"POATS",1.46420454545454,1990,3
"PSORG",4.69000005722046,1990,3
"PWOOLC",488.600603699292,1990,3
"PTOMATO",0,1990,3
"PAPPLE",0,1990,3
"PBARL",68.7690824158012,1990,4
"PCOCO",1336,1990,4
"PCOFFROB",57.3899993896484,1990,4
"PROIL",428.8,1990,4
"PCOTTIND",82.8699951171875,1990,4
"PGNUTS",761.43,1990,4
"PHIDE",100,1990,4
"PMAIZMT",118.498336791992,1990,4
"POLVOIL",2945.97,1990,4
"PPOIL",220.639565655476,1990,4
"PPORK",99.643558095238,1990,4
"PRUBB",38.0099983215332,1990,4
"PSOIL",498.24412,1990,4
"PSOYB",220.66795685,1990,4
"PSUGAISA",15.2400016784668,1990,4
"PSUNO",609.507936507935,1990,4
"PTEA",194.809997558594,1990,4
"PWHEAMT",159.467529296875,1990,4
"POATS",1.55059523809523,1990,4
"PSORG",4.98000001907349,1990,4
"PWOOLC",482.336493395455,1990,4
"PTOMATO",0,1990,4
"PAPPLE",0,1990,4
"PBARL",71.0260764087814,1990,5
"PCOCO",1443,1990,5
"PCOFFROB",55.0299987792969,1990,5
"PROIL",444.77,1990,5
"PCOTTIND",85.6000061035156,1990,5
"PGNUTS",768.48,1990,5
"PHIDE",99.4599914550781,1990,5
"PMAIZMT",121.254096984863,1990,5
"POLVOIL",3021.102,1990,5
"PPOIL",232.208681457635,1990,5
"PPORK",115.678153650794,1990,5
"PRUBB",38.75,1990,5
"PSOIL",526.90418,1990,5
"PSOYB",228.31600323125,1990,5
"PSUGAISA",14.6199989318848,1990,5
"PSUNO",621.768115942028,1990,5
"PTEA",187.020004272461,1990,5
"PWHEAMT",149.179290771484,1990,5
"POATS",1.56630434782608,1990,5
"PSORG",5.03000020980835,1990,5
"PWOOLC",447.257475693967,1990,5
"PTOMATO",0,1990,5
"PAPPLE",0,1990,5
"PBARL",80.2318685405609,1990,6
"PCOCO",1330,1990,6
"PCOFFROB",52.3800010681152,1990,6
"PROIL",430.43,1990,6
"PCOTTIND",90.1799926757813,1990,6
"PGNUTS",767.38,1990,6
"PHIDE",97.8999938964844,1990,6
"PMAIZMT",120.073066711426,1990,6
"POLVOIL",3074.49,1990,6
"PPOIL",224.771392727676,1990,6
"PPORK",121.461122539682,1990,6
"PRUBB",38.6699981689453,1990,6
"PSOIL",531.754344,1990,6
"PSOYB",221.05839765625,1990,6
"PSUGAISA",12.9700012207031,1990,6
"PSUNO",612.373015873015,1990,6
"PTEA",181.490005493164,1990,6
"PWHEAMT",135.584136962891,1990,6
"POATS",1.41714285714285,1990,6
"PSORG",5.03000020980835,1990,6
"PWOOLC",440.99336539013,1990,6
"PTOMATO",0,1990,6
"PAPPLE",0,1990,6
"PBARL",77.9935506085322,1990,7
"PCOCO",1346,1990,7
"PCOFFROB",51.4700012207031,1990,7
"PROIL",435.43,1990,7
"PCOTTIND",91.7900085449219,1990,7
"PGNUTS",778.18,1990,7
"PHIDE",96.75,1990,7
"PMAIZMT",114.955192565918,1990,7
"POLVOIL",3252.204,1990,7
"PPOIL",230.555950628755,1990,7
"PPORK",96.1887974603174,1990,7
"PRUBB",39.0099983215332,1990,7
"PSOIL",530.652034,1990,7
"PSOYB",222.4593911375,1990,7
"PSUGAISA",12,1990,7
"PSUNO",589.287878787878,1990,7
"PTEA",189.789993286133,1990,7
"PWHEAMT",124.92847442627,1990,7
"POATS",1.28170454545454,1990,7
"PSORG",4.94999980926514,1990,7
"PWOOLC",418.442568296316,1990,7
"PTOMATO",0,1990,7
"PAPPLE",0,1990,7
"PBARL",83.7762764196815,1990,8
"PCOCO",1284,1990,8
"PCOFFROB",55.0999984741211,1990,8
"PROIL",421.39,1990,8
"PCOTTIND",81.2799987792969,1990,8
"PGNUTS",963.04,1990,8
"PHIDE",91.8900146484375,1990,8
"PMAIZMT",109.83731842041,1990,8
"POLVOIL",3416.706,1990,8
"PPOIL",240.472335602035,1990,8
"PPORK",93.9732444444444,1990,8
"PRUBB",40.0800018310547,1990,8
"PSOIL",536.82497,1990,8
"PSOYB",222.71202930625,1990,8
"PSUGAISA",10.9300003051758,1990,8
"PSUNO",581.152173913044,1990,8
"PTEA",174.550003051758,1990,8
"PWHEAMT",116.844856262207,1990,8
"POATS",1.15173913043478,1990,8
"PSORG",4.75,1990,8
"PWOOLC",418.442568296316,1990,8
"PTOMATO",0,1990,8
"PAPPLE",0,1990,8
"PBARL",88.3859504253821,1990,9
"PCOCO",1371,1990,9
"PCOFFROB",57.0900001525879,1990,9
"PROIL",422.95,1990,9
"PCOTTIND",81.2799987792969,1990,9
"PGNUTS",1252.5,1990,9
"PHIDE",87.6600036621094,1990,9
"PMAIZMT",102.357360839844,1990,9
