"anomaly_temp","unc_temp","abs_temperature_c","id_time","id_geography","id_climate"
0.878,0.483,1.558,199001,2,2199001
0.092,0.3,3.362,199002,2,2199002
-0.606,0.452,7.974,199003,2,2199003
-0.261,0.305,14.309000000000001,199004,2,2199004
2.434,0.319,22.304000000000002,199005,2,2199005
1.229,0.223,25.919,199006,2,2199006
0.211,0.234,26.831,199007,2,2199007
1.178,0.452,26.138,199008,2,2199008
1.518,0.502,21.858,199009,2,2199009
0.188,0.404,14.208,199010,2,2199010
2.022,0.565,9.632,199011,2,2199011
-0.674,0.482,2.366,199012,2,2199012
0.282,0.496,0.962,199101,2,2199101
-1.226,0.432,2.044,199102,2,2199102
-0.982,0.386,7.598,199103,2,2199103
-0.21,0.322,14.36,199104,2,2199104
-0.915,0.602,18.955000000000002,199105,2,2199105
0.02,0.315,24.71,199106,2,2199106
0.195,0.31,26.815,199107,2,2199107
0.2,0.35,25.16,199108,2,2199108
0.403,0.252,20.743,199109,2,2199109
-0.196,0.464,13.824,199110,2,2199110
0.86,0.568,8.47,199111,2,2199111
1.914,0.425,4.954,199112,2,2199112
0.73,0.511,1.4100000000000001,199201,2,2199201
0.264,0.855,3.534,199202,2,2199202
-2.273,0.206,6.307,199203,2,2199203
-1.204,0.424,13.366,199204,2,2199204
-2.438,0.294,17.432000000000002,199205,2,2199205
0.159,0.338,24.849,199206,2,2199206
-0.337,0.358,26.283,199207,2,2199207
-0.955,0.434,24.005000000000003,199208,2,2199208
-1.005,0.489,19.335,199209,2,2199209
-0.396,0.351,13.623999999999999,199210,2,2199210
1.989,0.572,9.599,199211,2,2199211
2.142,0.501,5.182,199212,2,2199212
-0.048,0.4,0.632,199301,2,2199301
1.704,0.34,4.974,199302,2,2199302
-1.206,0.343,7.3740000000000006,199303,2,2199303
0.584,0.363,15.154,199304,2,2199304
0.486,0.371,20.356,199305,2,2199305
0.174,0.329,24.864,199306,2,2199306
-0.37,0.388,26.25,199307,2,2199307
-0.566,0.446,24.394000000000002,199308,2,2199308
1.009,0.353,21.349,199309,2,2199309
-1.361,0.264,12.658999999999999,199310,2,2199310
0.497,0.427,8.107000000000001,199311,2,2199311
0.922,0.451,3.962,199312,2,2199312
1.249,0.683,1.9290000000000003,199401,2,2199401
-1.303,0.292,1.967,199402,2,2199402
1.685,0.36,10.265,199403,2,2199403
-1.228,0.28,13.342,199404,2,2199404
0.956,0.342,20.826,199405,2,2199405
1.029,0.413,25.719,199406,2,2199406
0.4,0.37,27.02,199407,2,2199407
1.571,0.311,26.531000000000002,199408,2,2199408
-2.309,0.371,18.031,199409,2,2199409
-0.54,0.245,13.48,199410,2,2199410
3.835,0.62,11.445,199411,2,2199411
0.11,0.654,3.15,199412,2,2199412
1.577,0.528,2.257,199501,2,2199501
0.509,0.492,3.779,199502,2,2199502
-0.998,0.372,7.582,199503,2,2199503
-0.4,0.222,14.17,199504,2,2199504
0.21,0.313,20.080000000000002,199505,2,2199505
0.587,0.307,25.277,199506,2,2199506
1.104,0.234,27.724,199507,2,2199507
1.221,0.343,26.181,199508,2,2199508
0.222,0.343,20.562,199509,2,2199509
